brand,model,memory,Price
EVM,EVMP1G667U68D,1 GB DDR2," 790"
Kingston,ValueRAM (KVR533D2N4/1G),1 GB 533 MHz DDR2," 900"
Kingston,KVR667D2N5/2G,2GB DDR2," 970"
Kingston,KVR667D2N5/1G,1 GB DDR2," 1120"
Hynix,HYMP125S64CP8-S6,2GB DDR2," 1150"
Transcend,JM1600KLN-2G,2GB DDR3," 1210"
Transcend,JM1333KSU-2G,2GB DDR2," 1250"
Transcend,JM667QLU-1G,1 GB DDR2," 1390"
Transcend,JM800QLU-1G,1 GB DDR2," 1390"
CORSAIR,CMV4GX3M1A1600C11,4GB DDR3," 1600"
G.Skill,NT (F1-3200PHU1-1GBNT),1 GB (1 x 1 GB) DDR," 1620"
EVM,EVMT2G1333U88D,2 GB DDR3," 1630"
Transcend,JM1333KLN-2G,2 GB DDR3," 1675"
Hynix,HMT351S6CFR8C-PB,4GB DDR3," 1750"
Transcend,JM388D643A-5L,1GB DDR," 1780"
