Brand,Model,Core,Speed,Price
AMD,Sempron 145,1,2.8 GHz," 2199"
Intel,Celeron G530,2,2.40," 2520"
Intel,Celeron G460,1,1.8 GHz," 2750"
AMD,A4-4000,2,3.0 GHz," 2900"
Intel,"E8400 ",2,3.0 GHz," 3000"
AMD,A4-5300,2,3.4 GHz," 3425"
Intel,Pentium G3220,2,3.0 GHz," 3850"
Intel,Pentium G2020,2,2.9GHz," 3950"
Intel,Pentium G2030,2,3.0GHz," 3970"
Intel,Pentium G4400,2,3.3GHz," 4030"
AMD,A6-6400K,2,3.9GHz," 4400"
"Intel ",Pentium G3240,2,3.1 GHz," 4450"
AMD,A6 3500,3,2.1 GHz," 4600"
AMD,Athlon 5350,4,"2 GHz "," 4750"
AMD,Athlon II X2 270,2,3.4 GHz," 4900"
