Name Of Laptop,Price,Delivery by
"Lenovo Ideapad S145 Intel Core I3 8th Gen 15.6-inch Thin and Light FHD Laptop ( 4GB RAM / 1TB HDD / Windows 10 Home / Grey / 1.85Kg ), 81MV0091IN","30,490","Tomorrow, Sep 25"
Dell Vostro 3480 Intel Core i3 8th Gen 14-inch HD Thin & Light Laptop (4GB/1TB HDD/Windows 10 Home/Black/ 1.72kg),"30,990","Tomorrow, Sep 25"
"LG Gram 15Z990 2019 15.6-inch Laptop (Core i5-8265U/8GB/256GB SSD/Windows 10 64-bit/Intel UHD 620 Graphics), Dark Silver","73,490","Tomorrow, Sep 25"
"Lenovo Ideapad S145 Intel Core I3 8th Gen 15.6-inch FHD Thin and Light Laptop ( 8GB RAM / 1TB HDD / DOS / Black / 1.85 Kg),81MV0094IN","30,490","Tomorrow, Sep 25"
"LG Gram 14Z990 2019 14.0-inch Laptop (Core i5-8265U/8GB/256GB SSD/Windows 10 64-bit/Intel UHD 620 Graphics), Dark Silver","70,990","Tomorrow, Sep 25"
"HP 15 Core i3 7th Gen 15.6-inch Touchscreen Laptop (4GB/1TB HDD/Windows 10/MS Office/Natural Silver/2.04 kg), 15-ds0043tu","35,990","Tomorrow, Sep 25"
"Microsoft Surface Go MCZ-00015 2018 10-inch Laptop (Pentium Gold 4415Y/8GB/128GB/Windows 10 Home in S Mode/Integrated Graphics), Platinum","50,400","Saturday, September 28"
"Lenovo Ideapad 330 Intel Core I3 7th Gen 15.6-inch HD Laptop (4GB RAM/1TB HDD/DOS/Platinum Grey/2.2Kg/with DVD-RW),81DE00GFIN","26,990","Tomorrow, Sep 25"
"Lenovo Ideapad 330 Intel Core I3 7th Gen 15.6-inch HD Laptop ( 4GB RAM / 1TB HDD / DOS / Onyx Black / 2.2Kg ), 81DE00F4IN","24,996","Tomorrow, Sep 25"
"Dell Inspiron - 5567 15.6-inch Laptop (7th Gen i5-7200U/8GB/2TB/Win 10/Integrated Graphics), Blue","54,815","Tomorrow, Sep 25"
"ASUS ROG Zephyrus M GU502GU-ES003T 15.6-inch FHD 144Hz Gaming Laptop (9th Gen Core i7-9750H/16GB RAM/512GB PCIe SSD/Windows 10/6GB NVIDIA GeForce GTX 1660 Ti Graphics/1.93 Kg), Black","1,42,990","Tomorrow, Sep 25"
"Lenovo Ideapad L340 Gaming 9th Gen Intel Core i5 15.6 inch FHD Gaming Laptop (8GB RAM/1TB HDD/GTX 1050 3GB Graphics/Windows 10 Home/Black/2.2Kg), 81LK004LIN","55,990","Tomorrow, Sep 25"
"HP 15 Core-i3 15.6-Inch Full HD Laptop (8GB/1TB HDD/Windows 10/Sparkling Black/2.04 kg), 15q-ds0026tu","33,490","Tomorrow, Sep 25"
"ASUS TUF Gaming FX505GD 15.6"" FHD Laptop GTX 1050 4GB Graphics (Core i5-8300H 8th Gen/8GB RAM/1TB HDD/Windows 10/Gold Steel/2.20 Kg), FX505GD-BQ012T","58,990","Tomorrow, Sep 25"
"Lenovo Legion Y540 9th Gen Core Intel i7 15.6 inch FHD Gaming Laptop (16GB RAM/1TB HDD + 256 GB SSD/Windows 10 Home/6GB NVIDIA GTX 1660 Ti Graphics/Black/2.3 Kg), 81SX00F0IN","1,04,990","Tomorrow, Sep 25"
